skill_name,source_kind,created_at,created_by,updated_at,updated_by,lifecycle,profiles,validation,notes
accessibility,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
agent-architecture-audit,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
agent-self-evaluation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
agentic-os,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
angular-developer,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
benchmark-methodology,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
benchmark-optimization-loop,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
blender-motion-state-inspection,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
brand-discovery,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
browser-testing-with-devtools,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
