id,priority,repository,plugin,skill_name,source_path,recommendation,user_fit,fit_score,license,license_category,plugin_state,active_overlap_type,active_overlap_skill,upstream_duplicate_count,line_count,frontmatter_valid,name_matches_folder,has_trigger_boundary,has_non_trigger_boundary,missing_resource_count,claude_specific,codex_specific,subagent_assumption,external_mutation,destructive_command,explicit_user_boundary,dry_run_boundary,secret_reference,secret_boundary,verification_boundary,completion_boundary,task_state_boundary,unix_only_assumption,issue_count,issue_codes,issue_summary_ja,proposal_ja,description,source_url,repository_commit
addyosmani-agent-skills--skills-git-workflow-and-versioning-SKILL-md,P0,addyosmani-agent-skills,,git-workflow-and-versioning,skills/git-workflow-and-versioning/SKILL.md,merge_compare_with_active,high,91,MIT,permissive,not_applicable,alias,git-workflow,1,356,true,true,true,false,0,false,false,false,true,true,false,false,true,false,true,true,true,true,8,destructive_without_approval | missing_dry_run | mutation_without_approval | secret_boundary_missing | unix_only | active_overlap | non_trigger_boundary_missing | openai_metadata_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 secret境界不足 / P1 Windows経路不足 / P2 active重複 / P2 対象外不足 / P3 Codex UI metadata不足,active「git-workflow」を残し、この上流版はdiff材料として扱う。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / token・Cookie・credentialを本文やrepoへ書かず、環境変数またはsecret storeから注入し、ログではmaskする規則を追加する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。,"Structures git workflow practices. Use when making any code change. Use when committing, branching, resolving conflicts, or when you need to organize work across multiple parallel streams. Use when cutting a release, choosing a semantic version bump, tagging, or writing a changelog.",https://github.com/addyosmani/agent-skills/blob/5a1b82d6445d1e2f0abeea1072851419a50c0e5c/skills/git-workflow-and-versioning/SKILL.md,5a1b82d6445d1e2f0abeea1072851419a50c0e5c
ecc-everything-claude-code--skills-hookify-rules-SKILL-md,P0,ecc-everything-claude-code,,hookify-rules,skills/hookify-rules/SKILL.md,merge_compare_with_active,high,91,MIT,permissive,not_applicable,exact,hookify-rules,1,129,true,true,true,false,0,true,false,false,false,true,false,false,true,false,true,true,false,true,7,destructive_without_approval | claude_assumption | secret_boundary_missing | unix_only | active_overlap | non_trigger_boundary_missing | openai_metadata_missing,P0 破壊操作の承認不足 / P1 Claude固有前提 / P1 secret境界不足 / P1 Windows経路不足 / P2 active重複 / P2 対象外不足 / P3 Codex UI metadata不足,active「hookify-rules」を残し、この上流版はdiff材料として扱う。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / Claude Codeのtool名・hook・.claude pathをCodexのtool/approval/commentary契約へ置換し、必要ならlegacy referenceへ分離する。 / token・Cookie・credentialを本文やrepoへ書かず、環境変数またはsecret storeから注入し、ログではmaskする規則を追加する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / 新規追加せず、active「hookify-rules」との差分を取り、有益な規則だけを正本側へ統合する。,"This skill should be used when the user asks to create a hookify rule, write a hook rule, configure hookify, add a hookify rule, or needs guidance on hookify rule syntax and patterns.",https://github.com/affaan-m/everything-claude-code/blob/ed387446052dfbc6b52de149406b70efa65edc59/skills/hookify-rules/SKILL.md,ed387446052dfbc6b52de149406b70efa65edc59
openai-plugins--plugins-build-ios-apps-skills-ios-ettrace-performance-SKILL-md,P0,openai-plugins,build-ios-apps,ios-ettrace-performance,plugins/build-ios-apps/skills/ios-ettrace-performance/SKILL.md,evaluate_as_plugin_bundle,high,86,MIT,permissive,not_installed_or_external,none,,1,198,true,true,true,false,0,false,true,false,true,true,false,false,false,false,true,true,false,true,6,destructive_without_approval | missing_dry_run | mutation_without_approval | unix_only | non_trigger_boundary_missing | task_state_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 Windows経路不足 / P2 対象外不足 / P2 PJ状態復元不足,skill単体ではなくplugin「build-ios-apps」のmanifest・MCP/app・license・認証境界を一体で評価する。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / 似たskillとの境界が分かる非trigger・対象外・引継ぎ先を追加する。,"Capture and interpret iOS Simulator ETTrace profiles. Use when profiling launch or runtime latency, comparing traces, or finding CPU-heavy stacks.",https://github.com/openai/plugins/blob/11c74d6ba24d3a6d48f54a194cd00ef3beea18f9/plugins/build-ios-apps/skills/ios-ettrace-performance/SKILL.md,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9
ecc-everything-claude-code--skills-gateguard-SKILL-md,P0,ecc-everything-claude-code,,gateguard,skills/gateguard/SKILL.md,candidate_for_adaptation,high,81,MIT,permissive,not_applicable,none,,1,134,true,true,false,true,0,false,false,false,true,true,false,false,false,true,true,false,false,true,8,destructive_without_approval | missing_dry_run | mutation_without_approval | unix_only | completion_boundary_missing | task_state_missing | trigger_boundary_missing | openai_metadata_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 Windows経路不足 / P2 停止条件不足 / P2 PJ状態復元不足 / P2 起動条件不足 / P3 Codex UI metadata不足,permissive licenseを確認済みの候補として、Codex・Windows・承認・証拠契約を適用した私用版を別名または明確な正本で作る。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / 開始条件・停止条件・handoff・完了判定を明文化し、会話要約だけで再開しない。,"Fact-forcing gate that blocks Edit/Write/Bash (including MultiEdit) and demands concrete investigation (importers, data schemas, user instruction) before allowing the action. Measurably improves output quality by +2.25 points vs ungated agents.",https://github.com/affaan-m/everything-claude-code/blob/ed387446052dfbc6b52de149406b70efa65edc59/skills/gateguard/SKILL.md,ed387446052dfbc6b52de149406b70efa65edc59
openai-plugins--plugins-cloudflare-skills-sandbox-sdk-SKILL-md,P0,openai-plugins,cloudflare,sandbox-sdk,plugins/cloudflare/skills/sandbox-sdk/SKILL.md,use_installed_plugin,high,81,MIT,permissive,installed,none,,1,178,true,true,false,true,0,false,false,false,true,true,false,false,false,false,true,false,false,true,5,destructive_without_approval | missing_dry_run | mutation_without_approval | unix_only | trigger_boundary_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 Windows経路不足 / P2 起動条件不足,plugin「cloudflare」で既に提供されるため本文をrepoへ複製せず、採用状態とversionだけをprofile/registryで管理する。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / descriptionへ具体的な利用場面とtriggerを追加し、広すぎる自動発火を防ぐ。,"Build sandboxed applications for secure code execution. Load when building AI code execution, code interpreters, CI/CD systems, interactive dev environments, or executing untrusted code. Covers Sandbox SDK lifecycle, commands, files, code interpreter, and preview URLs. Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",https://github.com/openai/plugins/blob/11c74d6ba24d3a6d48f54a194cd00ef3beea18f9/plugins/cloudflare/skills/sandbox-sdk/SKILL.md,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9
ecc-everything-claude-code--skills-safety-guard-SKILL-md,P0,ecc-everything-claude-code,,safety-guard,skills/safety-guard/SKILL.md,merge_compare_with_active,high,79,MIT,permissive,not_applicable,exact,safety-guard,1,77,true,true,true,false,0,true,true,false,true,true,false,false,false,false,true,false,false,true,10,destructive_without_approval | claude_assumption | missing_dry_run | mutation_without_approval | unix_only | active_overlap | completion_boundary_missing | non_trigger_boundary_missing | task_state_missing | openai_metadata_missing,P0 破壊操作の承認不足 / P1 Claude固有前提 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 Windows経路不足 / P2 active重複 / P2 停止条件不足 / P2 対象外不足 / P2 PJ状態復元不足 / P3 Codex UI metadata不足,active「safety-guard」を残し、この上流版はdiff材料として扱う。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / Claude Codeのtool名・hook・.claude pathをCodexのtool/approval/commentary契約へ置換し、必要ならlegacy referenceへ分離する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。,Use this skill to prevent destructive operations when working on production systems or running agents autonomously.,https://github.com/affaan-m/everything-claude-code/blob/ed387446052dfbc6b52de149406b70efa65edc59/skills/safety-guard/SKILL.md,ed387446052dfbc6b52de149406b70efa65edc59
ecc-everything-claude-code--skills-git-workflow-SKILL-md,P0,ecc-everything-claude-code,,git-workflow,skills/git-workflow/SKILL.md,merge_compare_with_active,high,78,MIT,permissive,not_applicable,exact,git-workflow,1,717,true,true,false,false,0,false,false,false,true,true,false,false,true,true,true,false,false,true,11,destructive_without_approval | missing_dry_run | mutation_without_approval | unix_only | active_overlap | completion_boundary_missing | non_trigger_boundary_missing | progressive_disclosure | task_state_missing | trigger_boundary_missing | openai_metadata_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 Windows経路不足 / P2 active重複 / P2 停止条件不足 / P2 対象外不足 / P2 本文過大 / P2 PJ状態復元不足 / P2 起動条件不足 / P3 Codex UI metadata不足,active「git-workflow」を残し、この上流版はdiff材料として扱う。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / 新規追加せず、active「git-workflow」との差分を取り、有益な規則だけを正本側へ統合する。,"Git workflow patterns including branching strategies, commit conventions, merge vs rebase, conflict resolution, and collaborative development best practices for teams of all sizes.",https://github.com/affaan-m/everything-claude-code/blob/ed387446052dfbc6b52de149406b70efa65edc59/skills/git-workflow/SKILL.md,ed387446052dfbc6b52de149406b70efa65edc59
ecc-everything-claude-code--skills-perl-security-SKILL-md,P0,ecc-everything-claude-code,,perl-security,skills/perl-security/SKILL.md,merge_compare_with_active,high,78,MIT,permissive,not_applicable,exact,perl-security,1,505,true,true,false,false,0,false,false,false,true,true,false,false,true,false,true,false,false,true,10,destructive_without_approval | missing_dry_run | mutation_without_approval | secret_boundary_missing | unix_only | active_overlap | non_trigger_boundary_missing | progressive_disclosure | trigger_boundary_missing | openai_metadata_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 secret境界不足 / P1 Windows経路不足 / P2 active重複 / P2 対象外不足 / P2 本文過大 / P2 起動条件不足 / P3 Codex UI metadata不足,active「perl-security」を残し、この上流版はdiff材料として扱う。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / token・Cookie・credentialを本文やrepoへ書かず、環境変数またはsecret storeから注入し、ログではmaskする規則を追加する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。,"Comprehensive Perl security covering taint mode, input validation, safe process execution, DBI parameterized queries, web security (XSS/SQLi/CSRF), and perlcritic security policies.",https://github.com/affaan-m/everything-claude-code/blob/ed387446052dfbc6b52de149406b70efa65edc59/skills/perl-security/SKILL.md,ed387446052dfbc6b52de149406b70efa65edc59
openai-plugins--plugins-expo-skills-upgrading-expo-SKILL-md,P0,openai-plugins,expo,upgrading-expo,plugins/expo/skills/upgrading-expo/SKILL.md,evaluate_as_plugin_bundle,medium,61,MIT,permissive,not_installed_or_external,none,,1,134,true,true,false,false,0,false,false,false,true,true,false,false,false,false,true,false,false,true,6,destructive_without_approval | missing_dry_run | mutation_without_approval | unix_only | non_trigger_boundary_missing | trigger_boundary_missing,P0 破壊操作の承認不足 / P1 dry-run不足 / P1 外部変更の承認不足 / P1 Windows経路不足 / P2 対象外不足 / P2 起動条件不足,skill単体ではなくplugin「expo」のmanifest・MCP/app・license・認証境界を一体で評価する。 / 削除・reset等は対象絶対pathの確認と明示承認を必須にし、既定をread-only診断へ変更する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / push・deploy・送信・外部更新はread-only/dry-runを既定にし、実行直前にユーザーの明示承認を要求する。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / 似たskillとの境界が分かる非trigger・対象外・引継ぎ先を追加する。,Guidelines for upgrading Expo SDK versions and fixing dependency issues,https://github.com/openai/plugins/blob/11c74d6ba24d3a6d48f54a194cd00ef3beea18f9/plugins/expo/skills/upgrading-expo/SKILL.md,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9
openai-plugins--agents-skills-plugin-creator-SKILL-md,P0,openai-plugins,.agents,plugin-creator,.agents/skills/plugin-creator/SKILL.md,reference_only_license,high,48,not-declared-at-repository-root,unknown,system_source,none,,2,179,true,true,true,false,0,false,true,false,true,false,true,false,false,false,true,true,true,true,5,license_unknown | missing_dry_run | unix_only | cross_upstream_duplicate | non_trigger_boundary_missing,P0 license不明 / P1 dry-run不足 / P1 Windows経路不足 / P2 上流間重複 / P2 対象外不足,本文の私用再登録を止め、license確認または独立実装の要件抽出だけを行う。 / license根拠が「not-declared-at-repository-root」で確定できない。本文採用を止め、pluginまたはskill単位の許諾を確認する。 / 外部変更経路へdry-runまたはfake境界を追加し、実token・live API・deployを別gateに分ける。 / Windows + PowerShellの同等手順、LiteralPath、drive-letter、同一shell内での安全確認を追加する。 / 同名skillがopenai-skills / openai-pluginsにある。原著・現行Codex packaging・commit差分を比較して正本を1つに決める。 / 似たskillとの境界が分かる非trigger・対象外・引継ぎ先を追加する。,"Create and scaffold plugin directories for Codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, and baseline placeholders you can edit before publishing or testing. Use when Codex needs to create a new personal plugin, add optional plugin structure, or generate or update personal or repo-root `.agents/plugins/marketplace.json` entries for plugin ordering and availability metadata.",https://github.com/openai/plugins/blob/11c74d6ba24d3a6d48f54a194cd00ef3beea18f9/.agents/skills/plugin-creator/SKILL.md,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9
