plugin,plugin_version,skill_name,source_repository,source_commit,license,adoption_status,verified_at,verification_evidence,notes
airtable,0.1.3,airtable-cli,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
airtable,0.1.3,airtable-filters,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
airtable,0.1.3,airtable-overview,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
atlassian-rovo,1.0.3,capture-tasks-from-meeting-notes,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,deferred_until_needed,2026-07-17,Review recommendation plus pinned plugin manifest; explicit connected-app need required,具体需要とconnector利用の明示依頼が出るまで未導入を維持
atlassian-rovo,1.0.3,generate-status-report,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,deferred_until_needed,2026-07-17,Review recommendation plus pinned plugin manifest; explicit connected-app need required,具体需要とconnector利用の明示依頼が出るまで未導入を維持
atlassian-rovo,1.0.3,search-company-knowledge,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,deferred_until_needed,2026-07-17,Review recommendation plus pinned plugin manifest; explicit connected-app need required,具体需要とconnector利用の明示依頼が出るまで未導入を維持
atlassian-rovo,1.0.3,spec-to-backlog,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,deferred_until_needed,2026-07-17,Review recommendation plus pinned plugin manifest; explicit connected-app need required,具体需要とconnector利用の明示依頼が出るまで未導入を維持
atlassian-rovo,1.0.3,triage-issue,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,deferred_until_needed,2026-07-17,Review recommendation plus pinned plugin manifest; explicit connected-app need required,具体需要とconnector利用の明示依頼が出るまで未導入を維持
base44,1.0.3-beta.1,base44-cli,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
base44,1.0.3-beta.1,base44-sdk,https://github.com/openai/plugins,11c74d6ba24d3a6d48f54a194cd00ef3beea18f9,MIT,evaluated_not_adopted,2026-07-17,Plugin-bundle review plus pinned manifest/license; no current profile or connected-app need,現行profileへ一律導入せず、具体需要が出た場合だけplugin単位で再評価
