"No","スキル名","タスクの分類","重要度（pj-generalでの推定）","タスク難易度（pj-generalでの推定）","使用頻度（pj-generalでの推定）","行数","改善優先度","高品質化状態","高品質化コメント"
"1","agent-eval","エージェント運用・評価","中","高","中","143","C","未着手",""
"2","agent-harness-construction","エージェント運用・評価","中","高","中","72","C","未着手",""
"3","agentic-engineering","エージェント運用・評価","高","高","中","62","B","未着手",""
"4","agent-introspection-debugging","エージェント運用・評価","中","高","中","152","C","未着手",""
"5","agent-payment-x402","API・バックエンド実装","低","高","低","177","C","未着手",""
"6","agent-sort","エージェント運用・評価","中","高","中","214","C","未着手",""
"7","ai-first-engineering","エージェント運用・評価","高","高","中","50","B","未着手",""
"8","ai-regression-testing","テスト・検証","高","中","中","384","C","未着手",""
"9","android-clean-architecture","言語・フレームワーク別実装","低","高","低","338","D","未着手",""
"10","api-connector-builder","API・バックエンド実装","高","高","中","118","B","未着手",""
"11","api-design","API・バックエンド実装","高","高","高","127","A","完了","REST契約、error、pagination、authz、idempotency、互換性、observabilityをactive本文へ集約し、backend責務とのhandoffを明確化。"
"12","architecture-decision-records","リポジトリ調査・ファイル操作","高","中","中","178","C","未着手",""
"13","article-writing","コンテンツ・発信","低","低","低","78","C","未着手",""
"14","automation-audit-ops","運用・外部連携","中","中","中","141","C","未着手",""
"15","autonomous-agent-harness","エージェント運用・評価","低","高","低","266","C","未着手",""
"16","autonomous-loops","エージェント運用・評価","中","高","中","609","C","未着手",""
"17","backend-patterns","API・バックエンド実装","高","高","高","72","A","完了","言語固定例を分離し、data ownership・transaction・idempotency・queue/cache・failure/recovery・observability中心へ再設計。"
"18","benchmark","テスト・検証","中","中","中","92","C","未着手",""
"19","blueprint","作業チャンク化・計画","高","中","中","104","C","未着手",""
"20","brand-voice","コンテンツ・発信","低","低","低","96","C","未着手",""
"21","browser-qa","フロントエンド・UI検証","高","中","高","86","B","未着手",""
"22","bun-runtime","運用・外部連携","高","中","高","83","D","未着手",""
"23","canary-watch","テスト・検証","中","中","中","98","C","未着手",""
"24","carrier-relationship-management","業務ドメイン知識","低","中","低","204","C","未着手",""
"25","ck","運用・外部連携","低","中","低","143","C","未着手",""
"26","claude-api","言語・フレームワーク別実装","低","高","低","336","C","未着手",""
"27","claude-devfleet","エージェント運用・評価","低","高","低","102","C","未着手",""
"28","clickhouse-io","データ・DB・AI基盤","中","高","中","438","C","未着手",""
"29","click-path-audit","フロントエンド・UI検証","中","中","中","243","C","未着手",""
"30","codebase-onboarding","リポジトリ調査・ファイル操作","高","中","高","66","B","完了","AGENTS/PROJECT等のauthorityを先に読み、代表flow・ownership・検証commandを根拠付きで把握する手順へ変更。"
"31","code-tour","リポジトリ調査・ファイル操作","中","中","中","235","C","未着手",""
"32","coding-standards","リポジトリ調査・ファイル操作","高","中","高","112","B","完了","framework固有例をreferencesへ分離し、PJ規約優先・最小変更・risk-based review/verificationの横断floorへ縮小。"
"33","compose-multiplatform-patterns","フロントエンド・UI検証","低","中","低","298","D","未着手",""
"34","configure-ecc","運用・外部連携","低","中","低","366","C","未着手",""
"35","connections-optimizer","ウェブ検索・外部調査","低","中","低","188","C","未着手",""
"36","content-engine","コンテンツ・発信","低","低","低","130","C","未着手",""
"37","content-hash-cache-pattern","データ・DB・AI基盤","中","高","中","160","C","未着手",""
"38","context-budget","コスト・コンテキスト管理","高","中","中","86","C","完了","loaded/discoverable/on-demandを分けてcontextを実測し、母集団を削除せずprofileで可逆最適化する手順へ変更。"
"39","continuous-agent-loop","エージェント運用・評価","低","高","低","44","C","未着手",""
"40","continuous-learning","エージェント運用・評価","低","高","低","122","C","未着手",""
"41","continuous-learning-v2","エージェント運用・評価","低","高","低","363","C","未着手",""
"42","cost-aware-llm-pipeline","API・バックエンド実装","高","高","中","182","B","未着手",""
"43","council","作業チャンク化・計画","低","中","低","202","C","未着手",""
"44","cpp-coding-standards","言語・フレームワーク別実装","低","高","低","722","D","未着手",""
"45","cpp-testing","テスト・検証","低","中","低","323","D","未着手",""
"46","crosspost","コンテンツ・発信","低","中","低","110","C","未着手",""
"47","csharp-testing","テスト・検証","低","中","低","320","D","未着手",""
"48","customer-billing-ops","業務ドメイン知識","低","中","低","139","C","未着手",""
"49","customs-trade-compliance","業務ドメイン知識","低","中","低","255","C","未着手",""
"50","dart-flutter-patterns","言語・フレームワーク別実装","低","高","低","562","D","未着手",""
"51","dashboard-builder","フロントエンド・UI検証","中","中","中","106","C","未着手",""
"52","database-migrations","データ・DB・AI基盤","高","高","中","71","B","完了","430行を70行へ分割し、PostgreSQL lock/rewrite、runner transaction mode、expand-backfill-validate-contract、recovery/production gateを明確化。"
"53","data-scraper-agent","ウェブ検索・外部調査","中","中","中","763","C","未着手",""
"54","deep-research","ウェブ検索・外部調査","高","中","中","154","C","未着手",""
"55","defi-amm-security","セキュリティ・安全性","低","高","低","158","C","未着手",""
"56","deployment-patterns","運用・外部連携","高","中","中","426","C","未着手",""
"57","design-system","フロントエンド・UI検証","中","中","中","81","C","未着手",""
"58","django-patterns","言語・フレームワーク別実装","低","高","低","733","D","未着手",""
"59","django-security","セキュリティ・安全性","低","高","低","592","D","未着手",""
"60","django-tdd","テスト・検証","低","中","低","728","D","未着手",""
"61","django-verification","テスト・検証","低","中","低","469","D","部分改善","検証中のnpm audit fix自動実行を除去し、read-only auditと承認付きdependency remediationへ分離。mutable GitHub Actions例はD優先度backlog。"
